word,freq
anual,7.0
apresentação,7.0
bancárias,7.0
benedito,7.0
bombeiros,7.0
caixas,7.0
calçadas,7.0
campanha,7.0
clube,7.0
comercialização,7.0
comunitários,7.0
concursos,7.0
conjuntos,7.0
consumidor,7.0
cruzeiro,7.0
direta,7.0
edifícios,7.0
emissão,7.0
empresário,7.0
evangélica,7.0
exames,7.0
félix,7.0
fernando,7.0
fevereiro,7.0
futebol,7.0
hipermercados,7.0
hospitais,7.0
idade,7.0
iii,7.0
incisos,7.0
internet,7.0
josefa,7.0
junho,7.0
lazer,7.0
liberdade,7.0
malvinas,7.0
martins,7.0
medicamentos,7.0
necessidades,7.0
neste,7.0
obrigatório,7.0
orgânica,7.0
padre,7.0
pensionistas,7.0
permuta,7.0
prefeito,7.0
presença,7.0
privadas,7.0
privados,7.0
promoção,7.0
próxima,7.0
radialista,7.0
reajuste,7.0
roberto,7.0
rocha,7.0
setembro,7.0
tempo,7.0
transferência,7.0
tributário,7.0
vicente,7.0
abastecimento,6.0
academias,6.0
agência,6.0
águas,6.0
alberto,6.0
ambiente,6.0
ana,6.0
araujo,6.0
ariano,6.0
arte,6.0
assis,6.0
básica,6.0
básico,6.0
bens,6.0
borborema,6.0
centros,6.0
cícero,6.0
comunidade,6.0
construído,6.0
consumo,6.0
conteúdo,6.0
deficientes,6.0
define,6.0
disponibilização,6.0
distribuição,6.0
doméstica,6.0
elétrica,6.0
empresa,6.0
energia,6.0
entrada,6.0
esportes,6.0
estudantes,6.0
estudantil,6.0
fornecimento,6.0
freitas,6.0
gestantes,6.0
gestão,6.0
gratuita,6.0
guedes,6.0
habitacionais,6.0
hora,6.0
imaterial,6.0
informações,6.0
julho,6.0
leis,6.0
leitura,6.0
local,6.0
lourdes,6.0
mães,6.0
magistério,6.0
manutenção,6.0
mês,6.0
mica,6.0
monteiro,6.0
mulher,6.0
mundo,6.0
nomes,6.0
outorga,6.0
outubro,6.0
pacientes,6.0
painel,6.0
parada,6.0
partir,6.0
permanente,6.0
pinheiro,6.0
placa,6.0
postos,6.0
predial,6.0
primeiro,6.0
privada,6.0
professores,6.0
profissional,6.0
projetos,6.0
propriedade,6.0
proteção,6.0
realizado,6.0
recuperação,6.0
representação,6.0
reserva,6.0
residencial,6.0
resíduos,6.0
saude,6.0
servidor,6.0
sra,6.0
tecnologia,6.0
todas,6.0
turístico,6.0
usuários,6.0
utilizados,6.0
valores,6.0
vieira,6.0
acompanhamento,5.0
afonso,5.0
agente,5.0
andares,5.0
aparelhos,5.0
argemiro,5.0
árvores,5.0
autorização,5.0
bairros,5.0
banco,5.0
bandeira,5.0
banheiros,5.0
cada,5.0
cadastro,5.0
câncer,5.0
castro,5.0
césar,5.0
cidadã,5.0
cinco,5.0
clientes,5.0
coelho,5.0
comissões,5.0
concurso,5.0
congêneres,5.0
consciência,5.0
controle,5.0
cordeiro,5.0
coronel,5.0
cruz,5.0
cumprimento,5.0
curso,5.0
deficiente,5.0
deputado,5.0
desconto,5.0
desembarque,5.0
dez,5.0
dona,5.0
edificações,5.0
edson,5.0
elevadores,5.0
emissoras,5.0
endemias,5.0
enfermagem,5.0
específica,5.0
esportivos,5.0
estacionamentos,5.0
estatuto,5.0
estrutura,5.0
evento,5.0
exploração,5.0
família,5.0
farmácias,5.0
favor,5.0
fixação,5.0
gilberto,5.0
gonçalves,5.0
gonzaga,5.0
habitação,5.0
henrique,5.0
inativos,5.0
inaugurado,5.0
incentivos,5.0
incluir,5.0
instaladas,5.0
ivan,5.0
jardim,5.0
legislativa,5.0
livre,5.0
localizados,5.0
major,5.0
matriculados,5.0
médico,5.0
monitoramento,5.0
moradores,5.0
mota,5.0
natureza,5.0
nóbrega,5.0
novembro,5.0
onde,5.0
oneroso,5.0
orçamento,5.0
particulares,5.0
penalidades,5.0
piso,5.0
políticas,5.0
pontos,5.0
prédios,5.0
presidente,5.0
previdência,5.0
primeiros,5.0
qualidade,5.0
qualificação,5.0
reajustar,5.0
regulamentação,5.0
rita,5.0
rodas,5.0
salarial,5.0
secretários,5.0
sexual,5.0
sinalização,5.0
socorros,5.0
subvenções,5.0
tarifa,5.0
técnico,5.0
urbana,5.0
urbanos,5.0
utilização,5.0
vacinação,5.0
valorização,5.0
veloso,5.0
vencimento,5.0
verde,5.0
vereadores,5.0
vinte,5.0
visando,5.0
zona,5.0
abertura,4.0
acidentes,4.0
açude,4.0
adaptados,4.0
adoção,4.0
afixação,4.0
aguiar,4.0
álcool,4.0
alcoólicas,4.0
ambiental,4.0
aplicação,4.0
aprova,4.0
artes,4.0
artísticos,4.0
assuntos,4.0
ativos,4.0
atos,4.0
azevedo,4.0
azul,4.0
bancos,4.0
benevides,4.0
bodocongó,4.0
borges,4.0
braga,4.0
cadeiras,4.0
calçados,4.0
campo,4.0
capacitação,4.0
capítulo,4.0
carentes,4.0
carreira,4.0
carvalho,4.0
centers,4.0
chagas,4.0
chefe,4.0
circulação,4.0
combustíveis,4.0
compositor,4.0
compreende,4.0
conceição,4.0
concentração,4.0
concessionárias,4.0
contratação,4.0
convidados,4.0
cristã,4.0
custo,4.0
data,4.0
defesa,4.0
descarte,4.0
desembargador,4.0
diagnóstico,4.0
direito,4.0
direitos,4.0
disponibilizarem,4.0
domésticos,4.0
domiciliar,4.0
econômicoamde,4.0
educacional,4.0
elege,4.0
eletrônicos,4.0
embarque,4.0
emprego,4.0
escolares,4.0
estado,4.0
exclusivo,4.0
existência,4.0
feira,4.0
físico,4.0
físicos,4.0
geraldo,4.0
globais,4.0
gouveia,4.0
grupo,4.0
horário,4.0
hospital,4.0
hospitalares,4.0
identidade,4.0
identificação,4.0
inácio,4.0
indireta,4.0
infantil,4.0
informática,4.0
informativas,4.0
instituir,4.0
integração,4.0
interior,4.0
internacional,4.0
joana,4.0
joaquim,4.0
jóbedis,4.0
junto,4.0
leste,4.0
linhas,4.0
localizado,4.0
luís,4.0
luzia,4.0
macêdo,4.0
magno,4.0
maracajá,4.0
marcos,4.0
marques,4.0
médio,4.0
memória,4.0
mental,4.0
mercados,4.0
merenda,4.0
mesmos,4.0
morais,4.0
mosquito,4.0
multa,4.0
napoleão,4.0
novos,4.0
número,4.0
obrigação,4.0
