word,freq
menezes,48.0
professores,48.0
sales,48.0
cobertura,47.0
março,47.0
realizar,47.0
entrada,46.0
escolar,46.0
esquina,46.0
matérias,46.0
mota,46.0
regional,46.0
residencial,46.0
dentro,45.0
imediações,45.0
incluídas,45.0
situação,45.0
terminal,45.0
veneziano,45.0
básica,44.0
campo,44.0
clube,44.0
defesa,44.0
econômico,44.0
kubitschek,44.0
postes,44.0
ramos,44.0
residência,44.0
urgentes,44.0
apoio,43.0
associação,43.0
neves,43.0
pontos,43.0
públicas,43.0
rural,43.0
sistema,43.0
alunos,42.0
cinza,42.0
conforme,42.0
januário,42.0
júnior,42.0
legislativa,42.0
lucena,42.0
rádio,42.0
serra,42.0
servidores,42.0
toda,42.0
ubsf,42.0
vitória,42.0
estação,41.0
itararé,41.0
joaquim,41.0
lâmpadas,41.0
raimundo,41.0
terezinha,41.0
veículos,41.0
companhia,40.0
curso,40.0
diniz,40.0
dois,40.0
encaminhado,40.0
quarenta,40.0
quebra,40.0
reativação,40.0
situado,40.0
urbanização,40.0
abertura,39.0
agripino,39.0
águas,39.0
alusiva,39.0
brasília,39.0
campanhas,39.0
canteiro,39.0
cavalcanti,39.0
gestão,39.0
lemos,39.0
nascimento,39.0
período,39.0
pinto,39.0
região,39.0
secretária,39.0
superitendência,39.0
técnica,39.0
ufcg,39.0
coibir,38.0
comissão,38.0
debater,38.0
dezembro,38.0
doutor,38.0
forma,38.0
fundamental,38.0
implementação,38.0
informação,38.0
jornal,38.0
julho,38.0
junho,38.0
lira,38.0
população,38.0
requeiro,38.0
sandra,38.0
soares,38.0
velho,38.0
continental,37.0
coronel,37.0
correia,37.0
elaboração,37.0
félix,37.0
implantar,37.0
inserção,37.0
mendes,37.0
padre,37.0
sudoeste,37.0
trabalhos,37.0
viabilização,37.0
carvalho,36.0
chateaubriand,36.0
colégio,36.0
perímetro,36.0
prevenção,36.0
reposição,36.0
sérgio,36.0
vasconcelos,36.0
eduardo,35.0
esgotos,35.0
fernando,35.0
gonçalves,35.0
incluída,35.0
informações,35.0
instituto,35.0
linhas,35.0
livre,35.0
marechal,35.0
melhorias,35.0
nóbrega,35.0
pimentel,35.0
portal,35.0
prédio,35.0
realizado,35.0
tecnologia,35.0
terraplenagem,35.0
urbana,35.0
abrigos,34.0
animais,34.0
edição,34.0
espaço,34.0
extensão,34.0
miguel,34.0
pessoas,34.0
policiamento,34.0
proceda,34.0
semana,34.0
ana,33.0
cemitério,33.0
constar,33.0
dantas,33.0
doação,33.0
existentes,33.0
guedes,33.0
habitacional,33.0
lagoa,33.0
tribunal,33.0
viabilize,33.0
vicente,33.0
aprígio,32.0
castro,32.0
competentes,32.0
crianças,32.0
excelentíssimo,32.0
geral,32.0
lourdes,32.0
moradores,32.0
nações,32.0
pastor,32.0
posse,32.0
suassuna,32.0
após,31.0
araxá,31.0
árvores,31.0
asfalto,31.0
bombeiros,31.0
brito,31.0
clementino,31.0
corpo,31.0
cumprimento,31.0
elpídio,31.0
envie,31.0
justiça,31.0
pedido,31.0
policial,31.0
presidência,31.0
reparo,31.0
reparos,31.0
silveira,31.0
calçadas,30.0
complementar,30.0
disponibilização,30.0
entorno,30.0
equipamentos,30.0
luis,30.0
mês,30.0
mulher,30.0
nepomuceno,30.0
pista,30.0
principais,30.0
velha,30.0
almirante,29.0
antigo,29.0
antônio,29.0
coletivo,29.0
distribuição,29.0
fátima,29.0
faz,29.0
fim,29.0
galeria,29.0
getúlio,29.0
iniciativa,29.0
legislativos,29.0
mecânicos,29.0
moura,29.0
nobre,29.0
paraíbacagepa,29.0
qualidade,29.0
senador,29.0
setembro,29.0
violência,29.0
zoonoses,29.0
acácio,28.0
anexo,28.0
ata,28.0
bandeira,28.0
caixa,28.0
calçada,28.0
ciência,28.0
cito,28.0
comunitária,28.0
diretor,28.0
efetivação,28.0
estacionamento,28.0
florípedes,28.0
ginásio,28.0
gonzaga,28.0
iii,28.0
leão,28.0
liga,28.0
poeta,28.0
prática,28.0
radialista,28.0
resolução,28.0
vereadores,28.0
via,28.0
vigilância,28.0
atividades,27.0
baldio,27.0
carneiro,27.0
coelho,27.0
divulgação,27.0
entrega,27.0
localizados,27.0
marcos,27.0
procópio,27.0
providência,27.0
quanto,27.0
ressurreição,27.0
roberto,27.0
sendo,27.0
viabilidade,27.0
vias,27.0
vida,27.0
abrigo,26.0
andré,26.0
áreas,26.0
artigo,26.0
conselho,26.0
contorno,26.0
cultural,26.0
dengue,26.0
equipamento,26.0
evangélica,26.0
existente,26.0
fevereiro,26.0
giradouro,26.0
idosos,26.0
joana,26.0
luiza,26.0
moisés,26.0
pauta,26.0
santiago,26.0
sejel,26.0
universitário,26.0
alberto,25.0
assentamento,25.0
barroso,25.0
dágua,25.0
demais,25.0
determinar,25.0
execução,25.0
faculdade,25.0
garantir,25.0
guarda,25.0
henrique,25.0
isolda,25.0
motta,25.0
passageiros,25.0
promorar,25.0
torquato,25.0
transposição,25.0
abastecimento,24.0
afonso,24.0
dom,24.0
excelente,24.0
felicitações,24.0
grupo,24.0
inácio,24.0
jorge,24.0
leal,24.0
medidas,24.0
móvel,24.0
paulino,24.0
produtos,24.0
proteção,24.0
shopping,24.0
teatro,24.0
técnico,24.0
tocante,24.0
adoção,23.0
arborização,23.0
autorize,23.0
cardoso,23.0
continuação,23.0
desentupimento,23.0
drogas,23.0
família,23.0
feirinha,23.0
frei,23.0
gaudêncio,23.0
janeiro,23.0
leonardo,23.0
marcelino,23.0
maurício,23.0
melhor,23.0
molas,23.0
mosquito,23.0
mundial,23.0
obra,23.0
parada,23.0
permanente,23.0
ponte,23.0
renovação,23.0
agentes,22.0
art,22.0
bem,22.0
boqueirão,22.0
calixto,22.0
cãmara,22.0
congregacional,22.0
coordenação,22.0
correio,22.0
damião,22.0
estrutura,22.0
mariz,22.0
mirante,22.0
plínio,22.0
profissionais,22.0
sab,22.0
teixeira,22.0
trás,22.0
agência,21.0
alça,21.0
alcides,21.0
articulação,21.0
atender,21.0
base,21.0
brasileira,21.0
caminhada,21.0
delegacia,21.0
elétrica,21.0
equipe,21.0
felipe,21.0
guimarães,21.0
hamilton,21.0
horário,21.0
imediata,21.0
imperial,21.0
interior,21.0
lançamento,21.0
luzia,21.0
médico,21.0
oficiado,21.0
paradas,21.0
perfuração,21.0
poços,21.0
ponto,21.0
principalmente,21.0
problemas,21.0
rafael,21.0
retorno,21.0
seob,21.0
sociedade,21.0
substituição,21.0
tratamento,21.0
veloso,21.0
vigário,21.0
álvaro,20.0
brasileiro,20.0
contratação,20.0
deficiência,20.0
departamento,20.0
edson,20.0
encontro,20.0
estabelecimento,20.0
fiqueiredo,20.0
funcionamento,20.0
glória,20.0
gouveia,20.0
gusmão,20.0
homenagem,20.0
internacional,20.0
intuito,20.0
livro,20.0
lombadas,20.0
manuel,20.0
marques,20.0
monteiro,20.0
outros,20.0
poda,20.0
possa,20.0
preços,20.0
rêgo,20.0
relação,20.0
república,20.0
retomada,20.0
salustiano,20.0
saude,20.0
sobrinho,20.0
sol,20.0
tampa,20.0
ter,20.0
tipo,20.0
treze,20.0
urbano,20.0
advogado,19.0
artesianos,19.0
azevedo,19.0
bancos,19.0
campus,19.0
centrais,19.0
chico,19.0
consumidor,19.0
contas,19.0
corrente,19.0
darc,19.0
dependências,19.0
destinação,19.0
empresário,19.0
eventos,19.0
evitar,19.0
favor,19.0
feita,19.0
freire,19.0
funcionários,19.0
incentivo,19.0
infraestrutura,19.0
lombada,19.0
lucas,19.0
ministro,19.0
natalina,19.0
nomes,19.0
objetivando,19.0
oficial,19.0
paula,19.0
políticas,19.0
presença,19.0
profissional,19.0
provisão,19.0
semáforos,19.0
semas,19.0
acessibilidade,18.0
ambiental,18.0
andrade,18.0
antiga,18.0
aplicação,18.0
argemiro,18.0
assaltos,18.0
atuação,18.0
azul,18.0
banco,18.0
banheiros,18.0
belo,18.0
cidadania,18.0
conquista,18.0
constantes,18.0
coordenadoria,18.0
cursos,18.0
dessa,18.0
eleitoral,18.0
empresas,18.0
entulhos,18.0
esportiva,18.0
evento,18.0
exma,18.0
francisca,18.0
gabinete,18.0
gilberto,18.0
gustavo,18.0
leito,18.0
lobo,18.0
maestro,18.0
médio,18.0
morais,18.0
novos,18.0
ocorreu,18.0
pequeno,18.0
químicos,18.0
racional,18.0
recursos,18.0
reitor,18.0
resíduos,18.0
sanitária,18.0
todo,18.0
turismo,18.0
unidades,18.0
vagas,18.0
verdejante,18.0
adote,17.0
anexa,17.0
apresentação,17.0
augusto,17.0
aumento,17.0
câmeras,17.0
cantor,17.0
capinação,17.0
chefe,17.0
ciclovia,17.0
código,17.0
condomínio,17.0
conscientização,17.0
constam,17.0
direito,17.0
dra,17.0
econômica,17.0
estourado,17.0
fábio,17.0
familiar,17.0
férrea,17.0
horizonte,17.0
implantada,17.0
imprensa,17.0
instalado,17.0
instituição,17.0
lacerda,17.0
lixeiras,17.0
mão,17.0
medalha,17.0
mudas,17.0
plenário,17.0
profundo,17.0
promoção,17.0
sede,17.0
segundo,17.0
site,17.0
título,17.0
abreu,16.0
adolescente,16.0
árvore,16.0
carro,16.0
cássio,16.0
cícero,16.0
coleta,16.0
conjuntos,16.0
creches,16.0
direitos,16.0
dutra,16.0
eletrônica,16.0
escritor,16.0
fins,16.0
freitas,16.0
inauguração,16.0
interno,16.0
josefa,16.0
leis,16.0
lúcia,16.0
maciel,16.0
maia,16.0
márcio,16.0
marinaldo,16.0
marinho,16.0
médice,16.0
monitoramento,16.0
nilo,16.0
nivelamento,16.0
nogueira,16.0
orientação,16.0
paraibana,16.0
prestados,16.0
principal,16.0
providenciar,16.0
referida,16.0
restauração,16.0
revitalize,16.0
rubéns,16.0
solidária,16.0
terrenos,16.0
trauma,16.0
utilização,16.0
venâncio,16.0
visita,16.0
vital,16.0
vitorino,16.0
artesiano,15.0
atenção,15.0
avenidas,15.0
brandão,15.0
brilhante,15.0
bueiro,15.0
capacitação,15.0
capim,15.0
carentes,15.0
carmo,15.0
celebrado,15.0
chã,15.0
coletivos,15.0
congresso,15.0
consciência,15.0
distritos,15.0
entidades,15.0
epitácio,15.0
fumacê,15.0
industrial,15.0
infantil,15.0
intensifique,15.0
internet,15.0
locais,15.0
material,15.0
mérito,15.0
monsenhor,15.0
nordeste,15.0
oeste,15.0
parlamentar,15.0
parlamentares,15.0
placa,15.0
poço,15.0
policia,15.0
poliesportiva,15.0
praças,15.0
pracinha,15.0
prêmio,15.0
produção,15.0
redentorista,15.0
registrado,15.0
rômulo,15.0
saída,15.0
salvino,15.0
seguintes,15.0
setor,15.0
sindicato,15.0
tapaburaco,15.0
vargas,15.0
viabilizar,15.0
zika,15.0
adelino,14.0
aedes,14.0
aegypti,14.0
alexandre,14.0
américa,14.0
amor,14.0
antonieta,14.0
aparecida,14.0
arnaldo,14.0
assembléia,14.0
biblioteca,14.0
bruno,14.0
cariri,14.0
cmcg,14.0
colinas,14.0
comunicação,14.0
concreto,14.0
conjunta,14.0
convênio,14.0
copa,14.0
deputados,14.0
determina,14.0
disponibilize,14.0
drenagem,14.0
elias,14.0
enfermeira,14.0
esportivo,14.0
estatuto,14.0
existência,14.0
fechamento,14.0
fiep,14.0
física,14.0
galdino,14.0
idoso,14.0
índice,14.0
mário,14.0
mola,14.0
muro,14.0
objetivo,14.0
ostensivo,14.0
otávio,14.0
paz,14.0
pesquisa,14.0
plantio,14.0
porto,14.0
portugal,14.0
prado,14.0
reabertura,14.0
reacender,14.0
realizados,14.0
referência,14.0
remoção,14.0
seminário,14.0
soltos,14.0
tranquilino,14.0
tratar,14.0
último,14.0
única,14.0
vários,14.0
viaduto,14.0
volta,14.0
acerca,13.0
âmbito,13.0
antenor,13.0
antonino,13.0
cadastramento,13.0
calçadão,13.0
casas,13.0
catão,13.0
chikungunya,13.0
cidadão,13.0
comemorar,13.0
comercial,13.0
comerciantes,13.0
concretizar,13.0
concurso,13.0
cristo,13.0
damasco,13.0
desenvolvido,13.0
disciplinamento,13.0
eletrônico,13.0
emendas,13.0
especialmente,13.0
espírito,13.0
falta,13.0
familiares,13.0
fap,13.0
feitosa,13.0
festa,13.0
finanças,13.0
frança,13.0
história,13.0
histórico,13.0
idade,13.0
institui,13.0
ligeiro,13.0
meninão,13.0
mobilidade,13.0
nomeação,13.0
objetivos,13.0
ouvido,13.0
participação,13.0
patrulha,13.0
possível,13.0
poste,13.0
prestação,13.0
proibição,13.0
proximidade,13.0
publicada,13.0
públicossttp,13.0
reajuste,13.0
regimento,13.0
relatório,13.0
repintura,13.0
respectivamente,13.0
restaurante,13.0
revista,13.0
sampaio,13.0
sitrans,13.0
sociais,13.0
sonho,13.0
união,13.0
viana,13.0
vistoria,13.0
acidentes,12.0
acompanhamento,12.0
adesão,12.0
alguns,12.0
ascendino,12.0
brinquedos,12.0
carmem,12.0
cassiano,12.0
cerca,12.0
ciências,12.0
circulação,12.0
compositor,12.0
